deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
obj,0.1620896158895177,0.4347878481503892,0.3080747087552995,44
case,0.1281370409047137,0.3665950538386962,0.39029888808289703,44
amod,0.03417063326501547,0.1294961692101865,0.17074222309260043,44
nsubj,0.10096926398310321,0.2943975257490361,0.377552922137606,45
obj,0.09407434695363079,0.2779570572149069,0.37485260194641434,45
case,0.08781477945950779,0.34024902923526207,0.2815026275990412,45
amod,0.05014476228568935,0.14723134721959014,0.15915618102134332,45
nsubj,0.10112390847637572,0.16337119450093618,0.2582550733469673,46
obj,0.09781158866995729,0.316302577739987,0.28289177495492,46
case,0.05293278113682022,0.28862080545105384,0.23881298796256017,46
amod,0.08311754282034876,0.3044763277459115,0.24418860883872803,46
nsubj,0.10753285663356882,0.3692963978844959,0.4370138780330709,47
obj,0.06513094007645988,0.26550483799554436,0.31084941849587405,47
case,0.06379353373032823,0.30144897143215527,0.40975474841025417,47
amod,0.036180170767006976,0.18513400497490345,0.30457317600508993,47
nsubj,0.12311523788025332,0.42643960293853594,0.32347679851127664,48
obj,0.0742550229506811,0.23810323558217145,0.24814848982440268,48
case,0.10593015485495491,0.3105748379583559,0.33420468427579203,48
amod,0.062100050237391825,0.1307320409884513,0.23971188099540588,48
nsubj,0.0651936582720248,0.1541957204672722,0.23262222185843615,49
obj,0.08472424797847435,0.26792779403847217,0.3205142075045588,49
case,0.13514382254910512,0.33721210719456773,0.4223936368282699,49
amod,0.12073845954008836,0.3450610958586289,0.20321355654495257,49
nsubj,0.1456341787907128,0.3605017173463474,0.38182510121487545,50
obj,0.04843082329649183,0.33200989630641675,0.22497801176918505,50
case,0.11350905351421313,0.33685849569495063,0.20902551094845603,50
amod,0.0672202918606022,0.1318616632254835,0.2565517600593446,50
nsubj,0.10344135300570359,0.26153343444564003,0.30534828581790113,51
obj,0.15134583290558923,0.3543440444700333,0.24643815769117605,51
case,0.07940189263000824,0.1627723631438035,0.232162920001806,51
amod,0.11928431607333735,0.2966869511624084,0.3304628278583674,51
nsubj,0.06539073957044508,0.2855329663515203,0.2382964486235879,52
obj,0.08954828009666006,0.17773073042741527,0.28543477202215617,52
case,0.09952999648240751,0.3707105716264274,0.28747531442693597,52
amod,0.03465497825509229,0.21429217798736133,0.266849363936674,52
nsubj,0.1331323244173951,0.35619924063443065,0.2645547010811152,53
obj,0.02548138408132624,0.13138769580972082,0.20122358741476615,53
case,0.11547091127768057,0.3709925399732079,0.37495097881332057,53
amod,0.11547918878969843,0.303186783525693,0.2925753823380559,53
nsubj,0.09269982760514317,0.2885514093773392,0.31451721089906715,54
obj,0.09451854370611816,0.17607958168799434,0.23331711277854633,54
case,0.02846487829793671,0.33944872974311796,0.3191405405300815,54
amod,0.10730227609000777,0.30987805962795245,0.3378752284169878,54
nsubj,0.09554120602328246,0.23831177458120467,0.41799749362445277,55
obj,0.08142516391616832,0.35653467598093436,0.25876204301253725,55
case,0.046114386494697665,0.1328458114737798,0.21803020818215066,55
amod,0.11951910475199068,0.38242774123425677,0.31975952863782847,55
nsubj,0.08335769308061537,0.27994576360870427,0.2773805180745466,56
obj,0.08010373109819385,0.11611205758279296,0.26143592587762954,56
case,0.07262547826549245,0.2805621970146392,0.3004621266411002,56
amod,0.07750756984645825,0.3884701416835093,0.3383858695156452,56
nsubj,0.09632698652852213,0.2804555706968658,0.30246704242436034,57
obj,0.054660448954998594,0.3025109928738722,0.26115735396592443,57
case,0.08207199125837988,0.24043543240531948,0.32161811753708086,57
amod,0.09769393971083047,0.27455548636078697,0.2878728672677672,57
nsubj,0.048240834590917166,0.12517360790705728,0.3282529333840082,58
obj,0.0939380735055246,0.3101070848154126,0.3972532528672791,58
case,0.12152378721845966,0.28742256472161826,0.3655011569851967,58
amod,0.062054028897568794,0.3730098713736268,0.3579635216451599,58
nsubj,0.053404475139663794,0.07128202079150413,0.2130708034138268,59
obj,0.14968351557879708,0.3482880915424323,0.2329507379476837,59
case,0.09518638302116797,0.37034750938268957,0.42531008899749956,59
amod,0.11283346894022096,0.2872021973818381,0.38241739820823034,59
nsubj,0.07798537744396021,0.26958371557743127,0.29472588386232507,60
obj,0.0856036427605916,0.35877089906240517,0.3032458218707865,60
case,0.1254816964016842,0.33425410892836394,0.3986318857687633,60
amod,0.06275119814650763,0.14322806203489727,0.17531959101179614,60
nsubj,0.08747655186521223,0.26183002521408266,0.31488402409891125,61
obj,0.05573742869126501,0.27359477336275484,0.313816963942974,61
case,0.08237604644739695,0.27175210316420695,0.34644422185041285,61
amod,0.0579855777390895,0.302233117534288,0.22436201315733148,61
nsubj,0.12725968070963467,0.4466442900814425,0.3073702505972797,62
obj,0.04380444479092199,0.20770767519748037,0.2697338319514233,62
case,0.1249062086835892,0.34938203582800714,0.384576470863059,62
amod,0.07916122989009461,0.11271823165788983,0.2532536981131571,62
nsubj,0.12015147110186022,0.3965187632574564,0.345031666072161,63
obj,0.09182754860575075,0.24383053244207695,0.2627978138979269,63
